Ind,TeamID,Lineup_1,Lineup_2,Lineup_3,Lineup_4,Lineup_5,OFFApps,DEFApps,RatingOFF,RatingDEF,RatingOFF_mod,RatingDEF_mod,HensatiOFF,HensatiDEF
6316,727,10852,15826,18433,51000494,51000513,10,18,-0.224541020714407,0.113810382867502,0.0286915617619115,0.087269360394938,-7.59102263107398,3.71888784251282
6317,727,10852,15826,18433,51000494,51000554,18,24,0.3675546861089,0.328651731997892,0.0401646931357512,0.0146845730169655,12.8252842402503,11.0209272035374
6318,727,10852,15826,18433,51000510,51000513,11,11,0.0250767251414055,-0.0310209417595239,-0.0238463478236139,0.0665325415708342,1.01615428507506,-1.20364702992472
6319,727,10852,15826,18433,51000510,51000554,26,23,-0.588514006757061,-0.294210780226053,-0.0123732164497742,-0.00605224580713835,-20.1413317961033,-10.1489574540271
6320,727,10852,15826,51000441,51000491,51000494,8,9,-0.0536562237461236,0.301247175712252,0.0317899496600897,0.0620995363128093,-1.6986704077035,10.089499666524
6321,727,10852,15826,51000441,51000491,51000510,0,2,0,-0.158410024307559,-0.0207479599254358,0.0413627174887054,0.151472933876591,-5.53335403789
6322,727,10852,15826,51000441,51000491,51000513,1,0,-0.204202054817183,0,-0.0178726789374416,0.0684840507907618,-6.8897059952365,-0.14930558838676
6323,727,10852,15826,51000441,51000494,51000510,22,26,-0.0145987742748951,0.106137632961963,-0.0502818086030667,0.0460314585379383,-0.351913684379027,3.45810600491814
6324,727,10852,15826,51000441,51000510,51000513,2,8,-0.352537893459037,-0.158475701920035,-0.099944437200598,0.0524159730158908,-12.0045378827629,-5.53558629212493
6325,727,10852,15826,51000441,51000510,51000554,1,0,-0.0833900775351856,0,-0.0884713058267583,-0.0201688143620817,-2.72393621596536,-0.14930558838676
6326,727,10852,15826,51000491,51000494,51000513,1,3,-0.207593843059164,-0.192626963280798,0.041815669803874,0.0901817444195458,-7.0066597052412,-6.69632120509356
6327,727,10852,15826,51000491,51000494,51000554,2,4,-0.208951500806176,0.0674888257190251,0.0532888011777138,0.0175969570415733,-7.05347368627466,2.14450825994538
6328,727,10852,15826,51000491,51000510,51000513,4,13,0.33485298162886,0.124028685222445,-0.0107222397816514,0.069444925595442,11.6976826951186,4.06618805404408
6329,727,10852,15826,51000494,51000510,51000513,11,11,0.0699497939017868,0.836317680321495,-0.0402560884592823,0.0741136666446748,2.56344187982091,28.2755048344989
6330,727,10852,15826,51000494,51000510,51000554,5,2,-0.230760527810629,0.362333969419142,-0.0287829570854426,0.0015288792667023,-7.80548013178127,12.1657209055546
6331,727,10852,18433,51000441,51000494,51000513,7,7,-0.175550602305925,-0.0463215468659125,0.0230369292008083,0.0811839618952609,-5.90176293123861,-1.72368482146984
6332,727,10852,18433,51000441,51000494,51000554,8,9,0.241680968228325,-0.280739998772913,0.034510060574648,0.00859917451728832,8.4849784051141,-9.69111180749426
6333,727,10852,18433,51000441,51000510,51000513,5,8,0.317497890007671,0.272258064607397,-0.0295009803847171,0.060447143071157,11.099254312283,9.10421619485722
6334,727,10852,18433,51000494,51000513,51000554,5,7,0.552440752757047,-0.452124293264162,0.0445357807184324,0.0366813826240248,19.2004202688031,-15.5161304517265
6335,727,10852,18433,51000510,51000513,51000554,7,9,0.386542679244944,0.358298213477575,-0.008002128867093,0.015944563799921,13.4800174029276,12.028553414957
6336,727,10852,51000441,51000491,51000494,51000554,5,6,-0.381775280398725,-0.356370076470074,0.0476341686166106,0.0115115585418961,-13.0126848039404,-12.2616309671317
6337,727,10852,51000441,51000491,51000510,51000513,17,6,-0.00866751603572478,0.839083423403786,-0.0163768723427545,0.0633595270957648,-0.147395416557656,28.3695070595413
6338,727,10852,51000441,51000491,51000510,51000554,6,6,-0.146183743940083,0.364317227317054,-0.00490374096891481,-0.00922526028220778,-4.88915165009878,12.2331279819495
6339,727,10852,51000441,51000494,51000510,51000513,23,25,-0.205728165394029,-0.489462428147033,-0.0459107210203855,0.0680282681449976,-6.942328470788,-16.7851809938384
6340,727,10852,51000441,51000494,51000510,51000554,1,2,-0.0905971149247755,0.398189056779276,-0.0344375896465458,-0.0045565192329749,-2.97244517369521,13.3843655484802
6341,727,15826,18433,51000240,51000494,51000554,11,14,0.360294696677372,0.113717798207026,0.0337683336346264,0.127579234859747,12.5749494203749,3.71574107007931
6342,727,15826,18433,51000240,51000494,5100000022,5,7,0.293053101514917,0.0922093973592852,0.0959395240311145,0.262734626451478,10.2563630406163,2.98471238207949
6343,727,15826,18433,51000240,51000510,5100000022,1,3,-0.176606066507404,-0.388214033077888,0.0434016144455891,0.241997807627374,-5.93815684658163,-13.34394508172
6344,727,15826,18433,51000441,51000494,51000554,15,16,-0.17559189810886,-0.733004812443648,-0.0171934440600613,-0.0198525674043012,-5.90318686959097,-25.0627126859912
6345,727,15826,18433,51000441,51000494,5100000022,27,15,-0.195249659030655,0.276780202989108,0.0449777463364269,0.115302824187431,-6.58101458351874,9.25791487806186
6346,727,15826,18433,51000441,51000510,51000554,25,21,0.455575613224824,0.18594821264361,-0.0697313536455867,-0.0405893862284051,15.8603717073403,6.17071229146627
6347,727,15826,18433,51000441,51000510,5100000022,60,55,-0.1487726055509,0.0385180554169322,-0.00756016324909854,0.0945660053633267,-4.97841930140031,1.15984815647203
6348,727,15826,18433,51000491,51000513,51000554,18,22,0.260267340909954,-0.372699573239648,0.0223661247613541,0.0035608996532024,9.12586312006808,-12.8166387840151
